itemSet,setSize,target,conversion
0,1,4,0
0,1,32,0
0,1,55,0
0,1,28,0
0,1,15,0
1-2-3,3,63,0
1-2-3,3,95,0
1-2-3,3,13,0
1-2-3,3,46,0
1-2-3,3,82,0
1-3,2,2,1
0,1,52,0
0,1,69,0
0,1,40,0
0,1,68,0
0,1,35,0
4-5-6-7-8-9-10,7,75,0
4-5-6-7-8-9-10,7,1,0
4-5-6-7-8-9-10,7,64,0
4-5-6-7-8-9-10,7,90,0
4-5-6-7-8-9-10,7,80,0
4-5-7-8-9-10,6,6,1
11,1,15,0
11,1,69,0
11,1,91,0
11,1,8,0
11,1,45,0
11,1,10,0
11,1,81,0
11,1,24,0
11,1,0,0
11,1,43,0
12-13-14-15-17-18-19-20-21-22,10,78,0
12-13-14-15-17-18-19-20-21-22,10,72,0
12-13-14-15-17-18-19-20-21-22,10,76,0
12-13-14-15-17-18-19-20-21-22,10,71,0
12-13-14-15-17-18-19-20-21-22,10,48,0
12-13-14-15-17-18-20-21-22,9,19,1
23-19-24,3,45,0
23-19-24,3,53,0
23-19-24,3,60,0
23-19-24,3,37,0
23-19-24,3,34,0
19-23,2,24,1
25,1,58,0
25,1,8,0
25,1,7,0
25,1,26,0
25,1,77,0
22,1,64,0
22,1,46,0
22,1,29,0
22,1,92,0
22,1,21,0
26-28,2,86,0
26-28,2,74,0
26-28,2,70,0
26-28,2,54,0
26-28,2,45,0
26,1,28,1
29,1,85,0
29,1,21,0
29,1,53,0
29,1,60,0
29,1,26,0
19-30-25-11,4,66,0
19-30-25-11,4,98,0
19-30-25-11,4,35,0
19-30-25-11,4,76,0
19-30-25-11,4,29,0
19-25-11,3,30,1
31-32-10-33,4,42,0
31-32-10-33,4,53,0
31-32-10-33,4,30,0
31-32-10-33,4,98,0
31-32-10-33,4,50,0
33-10-31,3,32,1
11,1,97,0
11,1,27,0
11,1,28,0
11,1,30,0
11,1,83,0
11,1,57,0
11,1,97,0
11,1,74,0
11,1,67,0
11,1,30,0
34,1,91,0
34,1,84,0
34,1,60,0
34,1,58,0
34,1,72,0
36-37-38-22,4,25,0
36-37-38-22,4,82,0
36-37-38-22,4,80,0
36-37-38-22,4,42,0
36-37-38-22,4,65,0
37-38-22,3,36,1
24-10-17-39-40-41-13-42-43-21,10,72,0
24-10-17-39-40-41-13-42-43-21,10,6,0
24-10-17-39-40-41-13-42-43-21,10,88,0
24-10-17-39-40-41-13-42-43-21,10,27,0
24-10-17-39-40-41-13-42-43-21,10,52,0
39-41-10-42-43-13-17-21-24,9,40,1
47-43-42-41-36-48-49-0,8,65,0
47-43-42-41-36-48-49-0,8,53,0
47-43-42-41-36-48-49-0,8,97,0
47-43-42-41-36-48-49-0,8,64,0
47-43-42-41-36-48-49-0,8,67,0
0-36-42-43-47-48-49,7,41,1
50,1,54,0
50,1,60,0
50,1,53,0
50,1,17,0
50,1,8,0
51-39-52-22-21,5,8,0
51-39-52-22-21,5,2,0
51-39-52-22-21,5,60,0
51-39-52-22-21,5,82,0
51-39-52-22-21,5,98,0
