itemSet,setSize,target,conversion
1,1,88,0
1,1,19,0
1,1,51,0
1,1,39,0
1,1,30,0
2-3-4,3,73,0
2-3-4,3,27,0
2-3-4,3,7,0
2-3-4,3,93,0
2-3-4,3,52,0
2-3,2,4,1
1,1,11,0
1,1,58,0
1,1,52,0
1,1,30,0
1,1,86,0
5-6-7-8-9-10-11,7,100,0
5-6-7-8-9-10-11,7,29,0
5-6-7-8-9-10-11,7,71,0
5-6-7-8-9-10-11,7,27,0
5-6-7-8-9-10-11,7,99,0
5-6-7-9-10-11,6,8,1
12,1,87,0
12,1,23,0
12,1,91,0
12,1,81,0
12,1,32,0
12,1,2,0
12,1,49,0
12,1,64,0
12,1,47,0
12,1,45,0
13-14-15-16-18-19-20-21-22-23,10,58,0
13-14-15-16-18-19-20-21-22-23,10,94,0
13-14-15-16-18-19-20-21-22-23,10,89,0
13-14-15-16-18-19-20-21-22-23,10,27,0
13-14-15-16-18-19-20-21-22-23,10,78,0
13-14-15-16-19-20-21-22-23,9,18,1
24-20-25,3,31,0
24-20-25,3,7,0
24-20-25,3,94,0
24-20-25,3,32,0
24-20-25,3,74,0
24-20,2,25,1
26,1,100,0
26,1,57,0
26,1,72,0
26,1,43,0
26,1,59,0
23,1,18,0
23,1,6,0
23,1,13,0
23,1,44,0
23,1,7,0
27-29,2,1,0
27-29,2,39,0
27-29,2,19,0
27-29,2,47,0
27-29,2,98,0
29,1,27,1
30,1,34,0
30,1,13,0
30,1,11,0
30,1,24,0
30,1,62,0
20-31-26-12,4,34,0
20-31-26-12,4,10,0
20-31-26-12,4,56,0
20-31-26-12,4,78,0
20-31-26-12,4,79,0
26-20-12,3,31,1
32-33-11-34,4,90,0
32-33-11-34,4,60,0
32-33-11-34,4,46,0
32-33-11-34,4,76,0
32-33-11-34,4,73,0
32-34-11,3,33,1
12,1,27,0
12,1,48,0
12,1,91,0
12,1,99,0
12,1,50,0
12,1,7,0
12,1,93,0
12,1,39,0
12,1,8,0
12,1,15,0
35,1,60,0
35,1,40,0
35,1,4,0
35,1,20,0
35,1,26,0
37-38-39-23,4,24,0
37-38-39-23,4,22,0
37-38-39-23,4,25,0
37-38-39-23,4,12,0
37-38-39-23,4,56,0
37-38-23,3,39,1
25-11-18-40-41-42-14-43-44-22,10,12,0
25-11-18-40-41-42-14-43-44-22,10,60,0
25-11-18-40-41-42-14-43-44-22,10,4,0
25-11-18-40-41-42-14-43-44-22,10,63,0
25-11-18-40-41-42-14-43-44-22,10,6,0
40-41-42-11-43-44-14-18-22,9,25,1
48-44-43-42-37-49-50-1,8,18,0
48-44-43-42-37-49-50-1,8,12,0
48-44-43-42-37-49-50-1,8,54,0
48-44-43-42-37-49-50-1,8,32,0
48-44-43-42-37-49-50-1,8,9,0
1-37-42-43-44-49-50,7,48,1
51,1,78,0
51,1,96,0
51,1,65,0
51,1,24,0
51,1,16,0
52-40-53-23-22,5,10,0
52-40-53-23-22,5,87,0
52-40-53-23-22,5,31,0
52-40-53-23-22,5,92,0
52-40-53-23-22,5,95,0
40-52-53-23,4,22,1
23,1,21,0
23,1,64,0
23,1,1,0
23,1,94,0
23,1,52,0
54-23,2,97,0
54-23,2,77,0
54-23,2,43,0
54-23,2,86,0
54-23,2,11,0
23,1,54,1
10-26,2,42,0
10-26,2,34,0
10-26,2,35,0
10-26,2,98,0
10-26,2,9,0
10,1,26,1
55,1,26,0
55,1,23,0
55,1,46,0
55,1,4,0
55,1,6,0
56-12-1,3,13,0
56-12-1,3,23,0
56-12-1,3,76,0
56-12-1,3,58,0
56-12-1,3,41,0
56-12,2,1,1
57,1,39,0
57,1,23,0
57,1,45,0
57,1,34,0
57,1,13,0
4,1,11,0
4,1,92,0
4,1,94,0
4,1,6,0
4,1,37,0
54,1,5,0
54,1,58,0
54,1,36,0
54,1,85,0
54,1,23,0
12,1,17,0
12,1,66,0
12,1,23,0
12,1,56,0
12,1,82,0
60,1,58,0
60,1,89,0
60,1,67,0
60,1,98,0
60,1,55,0
61-62-24-11-29-63-64,7,76,0
61-62-24-11-29-63-64,7,93,0
61-62-24-11-29-63-64,7,84,0
61-62-24-11-29-63-64,7,1,0
61-62-24-11-29-63-64,7,74,0
64-11-61-29-62-63,6,24,1
65-31-66-67-68-69,6,73,0
65-31-66-67-68-69,6,33,0
65-31-66-67-68-69,6,27,0
65-31-66-67-68-69,6,46,0
65-31-66-67-68-69,6,60,0
65-66-68-69-31,5,67,1
30-12,2,40,0
30-12,2,58,0
30-12,2,2,0
30-12,2,66,0
30-12,2,9,0
12,1,30,1
67-22,2,60,0
67-22,2,89,0
67-22,2,55,0
67-22,2,83,0
67-22,2,92,0
22,1,67,1
23,1,28,0
23,1,100,0
23,1,89,0
23,1,63,0
23,1,65,0
66-21,2,39,0
66-21,2,13,0
66-21,2,27,0
66-21,2,91,0
66-21,2,67,0
21,1,66,1
12,1,84,0
12,1,99,0
12,1,11,0
12,1,50,0
12,1,6,0
24-31-40-48-27,5,82,0
24-31-40-48-27,5,98,0
24-31-40-48-27,5,12,0
24-31-40-48-27,5,60,0
24-31-40-48-27,5,8,0
40-24-48-27,4,31,1
72-73-74-75-1,5,8,0
72-73-74-75-1,5,89,0
72-73-74-75-1,5,65,0
72-73-74-75-1,5,17,0
72-73-74-75-1,5,78,0
73-1-74-75,4,72,1
65,1,17,0
65,1,83,0
65,1,22,0
65,1,80,0
65,1,4,0
22-12,2,28,0
22-12,2,72,0
22-12,2,30,0
22-12,2,1,0
22-12,2,64,0
22,1,12,1
26-1,2,76,0
26-1,2,94,0
26-1,2,23,0
26-1,2,47,0
26-1,2,29,0
1,1,26,1
50-23,2,46,0
50-23,2,19,0
50-23,2,3,0
50-23,2,91,0
50-23,2,75,0
50,1,23,1
76,1,99,0
76,1,92,0
76,1,100,0
76,1,86,0
76,1,98,0
77-40-35-12,4,63,0
77-40-35-12,4,62,0
77-40-35-12,4,69,0
77-40-35-12,4,8,0
77-40-35-12,4,30,0
40-35-12,3,77,1
80-81-12,3,94,0
80-81-12,3,31,0
80-81-12,3,40,0
80-81-12,3,1,0
80-81-12,3,100,0
80-12,2,81,1
40-15-31,3,37,0
40-15-31,3,8,0
40-15-31,3,93,0
40-15-31,3,77,0
40-15-31,3,94,0
40-15,2,31,1
63-64-23,3,3,0
63-64-23,3,34,0
63-64-23,3,5,0
63-64-23,3,48,0
63-64-23,3,74,0
64-63,2,23,1
82-40-31-24-15-56,6,100,0
82-40-31-24-15-56,6,47,0
82-40-31-24-15-56,6,69,0
82-40-31-24-15-56,6,33,0
82-40-31-24-15-56,6,25,0
40-82-24-56-31,5,15,1
2,1,61,0
2,1,6,0
2,1,87,0
2,1,29,0
2,1,86,0
83-82,2,76,0
83-82,2,10,0
83-82,2,32,0
83-82,2,91,0
83-82,2,24,0
83,1,82,1
56-85-57-2-3-12,6,14,0
56-85-57-2-3-12,6,84,0
56-85-57-2-3-12,6,51,0
56-85-57-2-3-12,6,6,0
56-85-57-2-3-12,6,13,0
2-3-85-56-57,5,12,1
39,1,28,0
39,1,12,0
39,1,26,0
39,1,69,0
39,1,45,0
22,1,19,0
22,1,38,0
22,1,33,0
22,1,64,0
22,1,30,0
51-86-12,3,78,0
51-86-12,3,27,0
51-86-12,3,84,0
51-86-12,3,57,0
51-86-12,3,61,0
51-12,2,86,1
87-44,2,80,0
87-44,2,100,0
87-44,2,27,0
87-44,2,7,0
87-44,2,29,0
44,1,87,1
40-88-31-24-81-2,6,8,0
40-88-31-24-81-2,6,94,0
40-88-31-24-81-2,6,57,0
