itemSet,setSize,target,conversion
0-1-2-3,4,98,0
0-1-2-3,4,25,0
0-1-2-3,4,18,0
0-1-2-3,4,32,0
0-1-2-3,4,52,0
1-2-3,3,0,1
4,1,83,0
4,1,94,0
4,1,49,0
4,1,2,0
4,1,38,0
5-6,2,57,0
5-6,2,74,0
5-6,2,85,0
5-6,2,54,0
5-6,2,22,0
6,1,5,1
7,1,58,0
7,1,51,0
7,1,6,0
7,1,0,0
7,1,26,0
8-9-10,3,90,0
8-9-10,3,24,0
8-9-10,3,96,0
8-9-10,3,46,0
8-9-10,3,69,0
9-10,2,8,1
11-12,2,14,0
11-12,2,75,0
11-12,2,1,0
11-12,2,83,0
11-12,2,41,0
12,1,11,1
13-2-14,3,48,0
13-2-14,3,32,0
13-2-14,3,59,0
13-2-14,3,91,0
13-2-14,3,96,0
2-14,2,13,1
9-15-17-18,4,3,0
9-15-17-18,4,20,0
9-15-17-18,4,8,0
9-15-17-18,4,39,0
9-15-17-18,4,19,0
17-18-15,3,9,1
19-20-21-22-2-15-23,7,47,0
19-20-21-22-2-15-23,7,5,0
19-20-21-22-2-15-23,7,73,0
19-20-21-22-2-15-23,7,71,0
19-20-21-22-2-15-23,7,72,0
2-15-19-20-21-23,6,22,1
24-25-26-27,4,74,0
24-25-26-27,4,62,0
24-25-26-27,4,90,0
24-25-26-27,4,23,0
24-25-26-27,4,14,0
25-26-27,3,24,1
24-29-10-32-33,5,71,0
24-29-10-32-33,5,82,0
24-29-10-32-33,5,38,0
24-29-10-32-33,5,3,0
24-29-10-32-33,5,50,0
32-33-29-24,4,10,1
34,1,91,0
34,1,42,0
34,1,43,0
34,1,58,0
34,1,51,0
35-17,2,98,0
35-17,2,54,0
35-17,2,62,0
35-17,2,56,0
35-17,2,59,0
35,1,17,1
10,1,40,0
10,1,44,0
10,1,48,0
10,1,49,0
10,1,82,0
36,1,37,0
36,1,2,0
36,1,59,0
36,1,83,0
36,1,70,0
37-38-39,3,11,0
37-38-39,3,41,0
37-38-39,3,48,0
37-38-39,3,55,0
37-38-39,3,73,0
37-38,2,39,1
0,1,41,0
0,1,54,0
0,1,37,0
0,1,73,0
0,1,52,0
40-36-19,3,98,0
40-36-19,3,60,0
40-36-19,3,50,0
40-36-19,3,2,0
40-36-19,3,47,0
40-36,2,19,1
41-42-43-44,4,78,0
41-42-43-44,4,62,0
41-42-43-44,4,33,0
41-42-43-44,4,73,0
41-42-43-44,4,53,0
41-43-44,3,42,1
45,1,6,0
45,1,63,0
45,1,38,0
45,1,65,0
45,1,41,0
35-46-9,3,4,0
35-46-9,3,24,0
35-46-9,3,47,0
35-46-9,3,86,0
35-46-9,3,52,0
9-35,2,46,1
22,1,92,0
22,1,23,0
22,1,50,0
22,1,24,0
22,1,9,0
47-48-9,3,17,0
47-48-9,3,12,0
47-48-9,3,56,0
47-48-9,3,73,0
47-48-9,3,90,0
48-47,2,9,1
49-50-7,3,13,0
49-50-7,3,64,0
49-50-7,3,37,0
49-50-7,3,96,0
49-50-7,3,23,0
49-50,2,7,1
23-44,2,10,0
23-44,2,67,0
23-44,2,81,0
23-44,2,54,0
23-44,2,86,0
23,1,44,1
52-15-4-20,4,46,0
52-15-4-20,4,6,0
52-15-4-20,4,44,0
52-15-4-20,4,80,0
52-15-4-20,4,67,0
20-4-52,3,15,1
53-20-15-8-19-12,6,42,0
53-20-15-8-19-12,6,4,0
53-20-15-8-19-12,6,22,0
53-20-15-8-19-12,6,5,0
53-20-15-8-19-12,6,48,0
8-12-19-20-53,5,15,1
54-49-55-9-43,5,91,0
54-49-55-9-43,5,85,0
54-49-55-9-43,5,45,0
54-49-55-9-43,5,93,0
54-49-55-9-43,5,30,0
9-55-54-49,4,43,1
20,1,9,0
20,1,68,0
20,1,48,0
20,1,47,0
20,1,63,0
56,1,75,0
56,1,40,0
56,1,97,0
56,1,77,0
56,1,10,0
48-6,2,74,0
48-6,2,89,0
48-6,2,16,0
48-6,2,97,0
48-6,2,42,0
48,1,6,1
40,1,44,0
40,1,77,0
40,1,3,0
40,1,48,0
40,1,32,0
57,1,42,0
57,1,82,0
57,1,11,0
57,1,53,0
57,1,44,0
25-58,2,28,0
25-58,2,31,0
25-58,2,99,0
25-58,2,37,0
25-58,2,1,0
58,1,25,1
50-18,2,45,0
50-18,2,47,0
50-18,2,98,0
50-18,2,9,0
50-18,2,14,0
50,1,18,1
59-15,2,95,0
59-15,2,85,0
59-15,2,4,0
59-15,2,56,0
59-15,2,27,0
15,1,59,1
44-60-23-61-29,5,98,0
44-60-23-61-29,5,69,0
44-60-23-61-29,5,7,0
44-60-23-61-29,5,71,0
44-60-23-61-29,5,81,0
29-60-61-23,4,44,1
62,1,73,0
62,1,11,0
62,1,69,0
62,1,35,0
62,1,21,0
46-36-22-38-63-52,6,79,0
46-36-22-38-63-52,6,67,0
46-36-22-38-63-52,6,43,0
46-36-22-38-63-52,6,85,0
46-36-22-38-63-52,6,32,0
36-38-46-22-63,5,52,1
24-65-66,3,26,0
24-65-66,3,94,0
24-65-66,3,2,0
24-65-66,3,25,0
24-65-66,3,39,0
65-66,2,24,1
67-26-25-68-69,5,73,0
67-26-25-68-69,5,72,0
67-26-25-68-69,5,9,0
67-26-25-68-69,5,42,0
67-26-25-68-69,5,86,0
25-67-68-69,4,26,1
70-9-10,3,78,0
70-9-10,3,71,0
70-9-10,3,23,0
70-9-10,3,33,0
70-9-10,3,90,0
9-10,2,70,1
9,1,80,0
9,1,89,0
9,1,29,0
9,1,0,0
9,1,78,0
49,1,33,0
49,1,59,0
49,1,45,0
49,1,48,0
49,1,46,0
0-14,2,33,0
0-14,2,5,0
0-14,2,86,0
0-14,2,11,0
0-14,2,57,0
14,1,0,1
71-72-73-41-74-48-75,7,12,0
71-72-73-41-74-48-75,7,59,0
71-72-73-41-74-48-75,7,95,0
71-72-73-41-74-48-75,7,68,0
71-72-73-41-74-48-75,7,22,0
71-73-74-75-41-48,6,72,1
13,1,64,0
13,1,65,0
13,1,98,0
13,1,21,0
13,1,75,0
15,1,75,0
15,1,80,0
15,1,8,0
15,1,51,0
15,1,96,0
43-46,2,2,0
43-46,2,9,0
43-46,2,44,0
43-46,2,21,0
43-46,2,6,0
46,1,43,1
19,1,71,0
19,1,32,0
19,1,81,0
19,1,46,0
19,1,28,0
34-6,2,49,0
34-6,2,41,0
34-6,2,43,0
34-6,2,73,0
34-6,2,81,0
34,1,6,1
1,1,75,0
1,1,13,0
1,1,34,0
1,1,42,0
1,1,58,0
77-70-10,3,29,0
77-70-10,3,71,0
77-70-10,3,86,0
77-70-10,3,78,0
77-70-10,3,61,0
10-70,2,77,1
15-20-19-67-79,5,96,0
15-20-19-67-79,5,22,0
15-20-19-67-79,5,3,0
15-20-19-67-79,5,11,0
15-20-19-67-79,5,85,0
67-15-20-79,4,19,1
22,1,70,0
22,1,4,0
22,1,81,0
22,1,89,0
22,1,64,0
0-39-80-15-27,5,71,0
0-39-80-15-27,5,84,0
0-39-80-15-27,5,87,0
0-39-80-15-27,5,86,0
0-39-80-15-27,5,48,0
0-27-80-39,4,15,1
15-5,2,99,0
15-5,2,81,0
15-5,2,1,0
15-5,2,2,0
15-5,2,42,0
5,1,15,1
15,1,0,0
15,1,11,0
15,1,70,0
15,1,39,0
15,1,6,0
45-73-81-65-23-34-75,7,96,0
45-73-81-65-23-34-75,7,84,0
45-73-81-65-23-34-75,7,72,0
45-73-81-65-23-34-75,7,2,0
45-73-81-65-23-34-75,7,35,0
65-73-75-45-81-23,6,34,1
82-83,2,49,0
82-83,2,70,0
82-83,2,54,0
82-83,2,3,0
82-83,2,17,0
82,1,83,1
44,1,20,0
44,1,65,0
44,1,8,0
44,1,89,0
44,1,19,0
1-70-11,3,40,0
1-70-11,3,73,0
1-70-11,3,7,0
1-70-11,3,37,0
1-70-11,3,25,0
1-70,2,11,1
50-74-18,3,78,0
50-74-18,3,57,0
50-74-18,3,21,0
50-74-18,3,77,0
50-74-18,3,48,0
18-74,2,50,1
84,1,66,0
84,1,76,0
84,1,59,0
84,1,56,0
84,1,44,0
43-52-72,3,71,0
43-52-72,3,60,0
43-52-72,3,11,0
43-52-72,3,92,0
43-52-72,3,87,0
72-52,2,43,1
15,1,29,0
15,1,85,0
15,1,36,0
15,1,20,0
15,1,57,0
80,1,9,0
80,1,10,0
80,1,77,0
80,1,84,0
80,1,85,0
19,1,3,0
19,1,78,0
19,1,21,0
19,1,99,0
19,1,66,0
58-15,2,65,0
58-15,2,23,0
58-15,2,26,0
58-15,2,2,0
58-15,2,62,0
15,1,58,1
19-48,2,77,0
19-48,2,97,0
19-48,2,44,0
19-48,2,30,0
19-48,2,14,0
19,1,48,1
77-52,2,2,0
77-52,2,5,0
77-52,2,68,0
77-52,2,98,0
77-52,2,65,0
52,1,77,1
34-40-61,3,47,0
34-40-61,3,82,0
34-40-61,3,8,0
34-40-61,3,5,0
34-40-61,3,28,0
40-34,2,61,1
9,1,79,0
9,1,47,0
9,1,20,0
9,1,70,0
9,1,19,0
10-27-5,3,4,0
10-27-5,3,54,0
10-27-5,3,78,0
10-27-5,3,14,0
10-27-5,3,45,0
27-5,2,10,1
47-39-14-19-1-2-11,7,72,0
47-39-14-19-1-2-11,7,55,0
47-39-14-19-1-2-11,7,87,0
47-39-14-19-1-2-11,7,69,0
47-39-14-19-1-2-11,7,80,0
1-2-39-14-47-19,6,11,1
82-86-54,3,98,0
82-86-54,3,38,0
82-86-54,3,63,0
82-86-54,3,26,0
82-86-54,3,61,0
82-54,2,86,1
32-23-69,3,50,0
32-23-69,3,3,0
32-23-69,3,79,0
32-23-69,3,76,0
32-23-69,3,24,0
32-23,2,69,1
7-8-87-49,4,66,0
7-8-87-49,4,35,0
7-8-87-49,4,70,0
7-8-87-49,4,96,0
7-8-87-49,4,77,0
8-49-87,3,7,1
2-7,2,79,0
2-7,2,44,0
2-7,2,64,0
2-7,2,38,0
2-7,2,99,0
7,1,2,1
15,1,58,0
15,1,10,0
15,1,26,0
15,1,56,0
15,1,51,0
88-2-82-7,4,19,0
88-2-82-7,4,27,0
88-2-82-7,4,54,0
88-2-82-7,4,50,0
88-2-82-7,4,99,0
88-2-82,3,7,1
2-7,2,73,0
2-7,2,47,0
2-7,2,40,0
2-7,2,11,0
2-7,2,31,0
2,1,7,1
56,1,93,0
56,1,63,0
56,1,43,0
56,1,83,0
56,1,13,0
10,1,98,0
10,1,45,0
10,1,79,0
10,1,26,0
10,1,69,0
70-21-10-4,4,22,0
70-21-10-4,4,84,0
70-21-10-4,4,58,0
70-21-10-4,4,37,0
70-21-10-4,4,60,0
10-21-70,3,4,1
73,1,79,0
73,1,51,0
73,1,33,0
73,1,96,0
73,1,68,0
52,1,74,0
52,1,67,0
52,1,8,0
52,1,82,0
52,1,46,0
89,1,19,0
89,1,25,0
89,1,38,0
89,1,54,0
89,1,22,0
90-37-39-70,4,31,0
90-37-39-70,4,40,0
90-37-39-70,4,69,0
90-37-39-70,4,27,0
90-37-39-70,4,66,0
90-37-39,3,70,1
27-20-21-49-90,5,86,0
27-20-21-49-90,5,43,0
27-20-21-49-90,5,42,0
27-20-21-49-90,5,23,0
27-20-21-49-90,5,78,0
90-27-20-21,4,49,1
49-20-15,3,41,0
49-20-15,3,74,0
49-20-15,3,27,0
49-20-15,3,1,0
49-20-15,3,38,0
20-15,2,49,1
19,1,72,0
19,1,59,0
19,1,62,0
19,1,67,0
19,1,9,0
15-86-82-7-35,5,32,0
15-86-82-7-35,5,65,0
15-86-82-7-35,5,60,0
15-86-82-7-35,5,92,0
15-86-82-7-35,5,52,0
82-35-86-7,4,15,1
91,1,93,0
91,1,89,0
91,1,45,0
91,1,30,0
91,1,13,0
10,1,19,0
10,1,28,0
10,1,98,0
10,1,47,0
10,1,17,0
5-26-25-92,4,87,0
5-26-25-92,4,73,0
5-26-25-92,4,64,0
5-26-25-92,4,32,0
5-26-25-92,4,94,0
25-92-5,3,26,1
41-92,2,11,0
41-92,2,46,0
41-92,2,31,0
41-92,2,57,0
41-92,2,43,0
92,1,41,1
83-40-36,3,38,0
83-40-36,3,47,0
83-40-36,3,77,0
83-40-36,3,2,0
83-40-36,3,67,0
40-36,2,83,1
38,1,1,0
38,1,86,0
38,1,21,0
38,1,65,0
38,1,36,0
67-93,2,62,0
67-93,2,30,0
67-93,2,22,0
67-93,2,95,0
67-93,2,66,0
67,1,93,1
43,1,70,0
43,1,29,0
43,1,83,0
43,1,31,0
43,1,42,0
57-15-94-7-2,5,23,0
57-15-94-7-2,5,16,0
57-15-94-7-2,5,21,0
57-15-94-7-2,5,62,0
57-15-94-7-2,5,33,0
57-15-94-7,4,2,1
95-90-68-23-65-44-32-5,8,26,0
95-90-68-23-65-44-32-5,8,15,0
95-90-68-23-65-44-32-5,8,20,0
95-90-68-23-65-44-32-5,8,47,0
95-90-68-23-65-44-32-5,8,89,0
32-65-68-5-23-90-95,7,44,1
89-58-7,3,4,0
89-58-7,3,84,0
89-58-7,3,83,0
89-58-7,3,30,0
89-58-7,3,72,0
89-7,2,58,1
90,1,9,0
90,1,89,0
90,1,46,0
90,1,43,0
90,1,73,0
29-69-26-81-25-72,6,12,0
29-69-26-81-25-72,6,40,0
29-69-26-81-25-72,6,73,0
29-69-26-81-25-72,6,16,0
29-69-26-81-25-72,6,35,0
69-72-81-25-26,5,29,1
54,1,89,0
54,1,32,0
54,1,18,0
54,1,55,0
54,1,4,0
43-50,2,30,0
43-50,2,4,0
43-50,2,39,0
43-50,2,86,0
43-50,2,23,0
43,1,50,1
44,1,36,0
44,1,26,0
44,1,38,0
44,1,3,0
44,1,99,0
94,1,50,0
94,1,17,0
94,1,89,0
94,1,31,0
94,1,19,0
97-17,2,39,0
97-17,2,84,0
97-17,2,19,0
97-17,2,22,0
97-17,2,7,0
97,1,17,1
40-15-20,3,22,0
40-15-20,3,2,0
40-15-20,3,38,0
40-15-20,3,71,0
