itemSet,target,conversion,setSize
"[0, 1, 2]",3,1.0,3
[6],5,1.0,1
"[9, 10]",8,1.0,2
[12],11,1.0,1
"[13, 14]",2,1.0,2
"[9, 15, 18]",17,1.0,3
"[19, 20, 21, 2, 15, 23]",22,1.0,6
"[24, 26, 27]",25,1.0,3
"[24, 10, 32, 33]",29,1.0,4
[35],17,1.0,1
"[38, 39]",37,1.0,2
"[40, 36]",19,1.0,2
"[41, 42, 44]",43,1.0,3
"[35, 46]",9,1.0,2
"[48, 9]",47,1.0,2
"[49, 7]",50,1.0,2
[23],44,1.0,1
"[52, 15, 4]",20,1.0,3
"[53, 20, 15, 19, 12]",8,1.0,5
"[54, 49, 55, 43]",9,1.0,4
[6],48,1.0,1
[25],58,1.0,1
[50],18,1.0,1
[15],59,1.0,1
"[44, 60, 23, 61]",29,1.0,4
"[46, 36, 38, 63, 52]",22,1.0,5
"[65, 66]",24,1.0,2
"[67, 26, 25, 68]",69,1.0,4
"[9, 10]",70,1.0,2
[0],14,1.0,1
"[71, 72, 73, 41, 74, 75]",48,1.0,6
[46],43,1.0,1
[6],34,1.0,1
"[77, 10]",70,1.0,2
"[15, 20, 19, 67]",79,1.0,4
"[0, 39, 80, 27]",15,1.0,4
[5],15,1.0,1
"[45, 73, 65, 23, 34, 75]",81,1.0,6
[83],82,1.0,1
"[1, 70]",11,1.0,2
"[50, 18]",74,1.0,2
"[43, 52]",72,1.0,2
[58],15,1.0,1
[19],48,1.0,1
[52],77,1.0,1
"[40, 61]",34,1.0,2
"[10, 5]",27,1.0,2
"[39, 14, 19, 1, 2, 11]",47,1.0,6
"[82, 54]",86,1.0,2
"[23, 69]",32,1.0,2
"[7, 8, 87]",49,1.0,3
[7],2,1.0,1
"[88, 82, 7]",2,1.0,3
[7],2,1.0,1
"[70, 21, 10]",4,1.0,3
"[90, 37, 39]",70,1.0,3
"[20, 21, 49, 90]",27,1.0,4
"[49, 15]",20,1.0,2
"[15, 82, 7, 35]",86,1.0,4
"[5, 26, 92]",25,1.0,3
[92],41,1.0,1
"[83, 36]",40,1.0,2
[67],93,1.0,1
"[15, 94, 7, 2]",57,1.0,4
"[95, 90, 68, 23, 65, 44, 5]",32,1.0,7
"[89, 58]",7,1.0,2
"[29, 69, 26, 81, 72]",25,1.0,5
[43],50,1.0,1
[97],17,1.0,1
"[40, 15]",20,1.0,2
"[84, 65]",98,1.0,2
[97],10,1.0,1
"[14, 15, 27]",20,1.0,3
[15],20,1.0,1
"[14, 15, 80]",13,1.0,3
"[23, 29]",17,1.0,2
[73],50,1.0,1
"[47, 40, 13, 2]",14,1.0,4
[0],14,1.0,1
"[79, 89, 68, 41, 65]",33,1.0,5
[14],2,1.0,1
[11],59,1.0,1
[10],49,1.0,1
[16],12,1.0,1
"[69, 71]",76,1.0,2
"[7, 20]",15,1.0,2
"[0, 80]",14,1.0,2
"[85, 84, 10, 5, 30, 2]",38,1.0,6
[29],3,1.0,1
[86],20,1.0,1
"[7, 31]",2,1.0,2
"[42, 70, 9, 7, 5]",10,1.0,5
[12],43,1.0,1
"[37, 27, 80]",14,1.0,3
"[52, 20]",15,1.0,2
"[53, 12, 23, 43]",97,1.0,4
"[47, 97, 10]",82,1.0,3
"[19, 20, 15]",1,1.0,3
[44],84,1.0,1
"[51, 52]",17,1.0,2
[77],52,1.0,1
"[37, 0]",14,1.0,2
"[26, 85, 75]",89,1.0,3
"[16, 7]",48,1.0,2
[20],73,1.0,1
"[32, 45, 3, 29]",75,1.0,4
[72],84,1.0,1
"[51, 48]",62,1.0,2
[10],3,1.0,1
"[31, 41, 9, 23]",59,1.0,4
"[48, 98]",35,1.0,2
[67],20,1.0,1
"[59, 7]",47,1.0,2
"[2, 12, 97, 23]",55,1.0,4
"[59, 11]",15,1.0,2
"[20, 37]",14,1.0,2
[21],24,1.0,1
"[53, 13]",80,1.0,2
"[52, 15, 20]",55,1.0,3
"[45, 32, 23, 41, 33, 42]",44,1.0,6
[14],57,1.0,1
"[24, 11, 97, 59]",42,1.0,4
"[12, 23, 71, 2, 64]",44,1.0,5
"[57, 30, 46, 43, 36]",83,1.0,5
[19],69,1.0,1
[67],73,1.0,1
"[20, 2]",7,1.0,2
[69],29,1.0,1
"[39, 62]",38,1.0,2
"[62, 20]",7,1.0,2
"[19, 7]",2,1.0,2
"[93, 15]",80,1.0,2
"[41, 33, 12]",48,1.0,3
[98],44,1.0,1
[52],77,1.0,1
"[35, 15]",27,1.0,2
"[85, 93]",8,1.0,2
[91],36,1.0,1
"[31, 69]",76,1.0,2
[25],95,1.0,1
[22],62,1.0,1
"[74, 7]",51,1.0,2
"[42, 41, 67]",71,1.0,3
"[59, 69]",23,1.0,2
"[90, 73]",40,1.0,2
[20],67,1.0,1
"[32, 61, 78]",60,1.0,3
[20],15,1.0,1
"[7, 83]",36,1.0,2
"[43, 8, 18]",9,1.0,3
"[15, 36, 83]",38,1.0,3
"[20, 9]",27,1.0,2
"[69, 76]",72,1.0,2
[73],25,1.0,1
[93],98,1.0,1
[49],7,1.0,1
[70],10,1.0,1
[27],15,1.0,1
"[53, 41, 95]",71,1.0,3
[32],67,1.0,1
"[70, 10, 16, 73]",36,1.0,4
[38],52,1.0,1
"[92, 70, 10]",22,1.0,3
"[27, 15]",20,1.0,2
[50],18,1.0,1
"[16, 41]",53,1.0,2
[19],18,1.0,1
[32],69,1.0,1
[63],46,1.0,1
[54],49,1.0,1
"[94, 83, 50, 54, 58]",7,1.0,5
"[29, 15, 44, 69, 23, 60, 36]",76,1.0,7
[19],39,1.0,1
[20],16,1.0,1
"[15, 20, 6]",21,1.0,3
"[57, 1, 15, 27]",7,1.0,4
[64],31,1.0,1
